citing_patent,citing_title,citing_assignee,citing_url
US-2006218055-A1,Enhancing Touch and Feel on the Internet,HARRIS SCOTT C,https://patents.google.com/patent/US20060218055A1
US-2006155605-A1,Rich media personal selling system,"HAIGHTON PETER, MCLEOD DONALD G, ROOYEN HENRI V",https://patents.google.com/patent/US20060155605A1
US-8335986-B2,Previewing different types of documents,"CARLEN CONRAD, COFFMAN PATRICK, STAAKE RYAN, SARNOFF MATTHEW, APPLE INC",https://patents.google.com/patent/US8335986B2
US-8850361-B2,Enhancing touch and feel on the internet,HARRIS SCOTT C,https://patents.google.com/patent/US8850361B2
US-10409854-B2,Image selection based on text topic and image explanatory value,HEWLETT PACKARD DEVELOPMENT CO,https://patents.google.com/patent/US10409854B2
US-7593015-B2,System and method for sequencing media objects,KYOCERA WIRELESS CORP,https://patents.google.com/patent/US7593015B2
US-2009259681-A1,Automatic generation and publication of online documentation,ORACLE INT CORP,https://patents.google.com/patent/US20090259681A1
US-2016216858-A1,Method and program product for an interactive e-book,KHAN MANZURUL,https://patents.google.com/patent/US20160216858A1
US-2006017736-A1,Animation packager for an on-line book,MCKEETH JAMES A,https://patents.google.com/patent/US20060017736A1
US-2007178039-A1,Crystals for a semiconductor radiation detector and method for making the crystals,GEN ELECTRIC,https://patents.google.com/patent/US20070178039A1
US-2011055691-A1,Previewing different types of documents,APPLE INC,https://patents.google.com/patent/US20110055691A1
US-2005168485-A1,System for combining a sequence of images with computer-generated 3D graphics,Nattress Thomas G.,https://patents.google.com/patent/US20050168485A1
US-8086505-B2,Enhancing touch and feel on the internet,"HARRIS SCOTT C, ILLINOIS COMP RES LLC",https://patents.google.com/patent/US8086505B2
US-7652669-B2,Animation packager for an on-line book,MICRON TECHNOLOGY INC,https://patents.google.com/patent/US7652669B2
US-2004070689-A1,"Image processing method, image processing apparatus, and printing apparatus",CANON KK,https://patents.google.com/patent/US20040070689A1
US-7019741-B2,Methods and systems for simulating animation of web-based data files,GEN ELECTRIC,https://patents.google.com/patent/US7019741B2
US-2009055290-A1,Enhancing Touch and Feel on the Internet,HARRIS SCOTT C,https://patents.google.com/patent/US20090055290A1
US-8463821-B2,Automatic generation and publication of online documentation,"LUBBERS JEDIDJA, KUMAR VIVEK, SIDHU RAVINDER PAL SINGH, BANDY THERESA M ROBERTSON, CREWS ROBERT, GILCHRIST EDGAR S, PALANI ARUMUGAM THIRAVALLUR, REDDY PHANEENDRA, ROMERO ANTONIO, ORACLE INT CORP",https://patents.google.com/patent/US8463821B2
US-2004130551-A1,Animation packager for an on-line book,Mckeeth James A.,https://patents.google.com/patent/US20040130551A1
US-8943395-B2,Previewing different types of documents,APPLE INC,https://patents.google.com/patent/US8943395B2
US-7111252-B1,Enhancing touch and feel on the internet,HARRIS SCOTT C,https://patents.google.com/patent/US7111252B1
US-7847806-B2,"Image processing method, image processing apparatus, and printing apparatus",CANON KK,https://patents.google.com/patent/US7847806B2
US-8103973-B2,Enhancing touch and feel on the internet,"HARRIS SCOTT C, ILLINOIS COMP RES LLC",https://patents.google.com/patent/US8103973B2
US-6661419-B2,Animation packager for an on-line book,MICRON TECHNOLOGY INC,https://patents.google.com/patent/US6661419B2
US-2005104886-A1,System and method for sequencing media objects,Sumita Rao,https://patents.google.com/patent/US20050104886A1
US-2006229952-A1,Enhancing Touch and Feel on the Internet,HARRIS SCOTT C,https://patents.google.com/patent/US20060229952A1
US-9582824-B2,Enhancing touch and feel on the Internet,HARRIS SCOTT C,https://patents.google.com/patent/US9582824B2
US-8738471-B2,Enhancing touch and feel on the internet,HARRIS SCOTT C,https://patents.google.com/patent/US8738471B2
US-2003093382-A1,Method for producing/selling book using network and producing/selling system,"Yasunori Himeno, Toshihiro Takagi, Toru Yagi",https://patents.google.com/patent/US20030093382A1
US-2006178952-A1,Enhancing Touch and Feel on the Internet,HARRIS SCOTT C,https://patents.google.com/patent/US20060178952A1
US-2010073382-A1,System and method for sequencing media objects,KYOCERA WIRELESS CORP,https://patents.google.com/patent/US20100073382A1
US-7617135-B2,Enhancing touch and feel on the internet,ILLINOIS COMP RES LLC,https://patents.google.com/patent/US7617135B2
US-2009112839-A1,Media Enhancement Mechanism,YAHOO INC,https://patents.google.com/patent/US20090112839A1
US-2007088726-A1,System and method for assisted entry of database schema data,"DAOS BRENDA, WU VINCENT, LOGASUNDARAM KARTHIK C, SINGH HARPREET",https://patents.google.com/patent/US20070088726A1
US-7053899-B2,Animation packager for an on-line book,MICRON TECHNOLOGY INC,https://patents.google.com/patent/US7053899B2
US-2008301578-A1,"Methods, Systems, and Computer Program Products for Navigating a Sequence of Illustrative Scenes within a Digital Production",OLSON PETER JONATHAN,https://patents.google.com/patent/US20080301578A1
US-8290929-B2,Media enhancement mechanism using embed code,"FISHER ROBERTO WARREN, KALABOUKIS CHRIS, MARTINEZ RONALD, ROGERS IAN C, YAHOO INC",https://patents.google.com/patent/US8290929B2
US-2009055289-A1,Enhancing Touch and Feel on the Internet,HARRIS SCOTT C,https://patents.google.com/patent/US20090055289A1
US-11113127-B2,Command line output redirection,MICRON TECHNOLOGY INC,https://patents.google.com/patent/US11113127B2
US-9953143-B2,Software identifier based correlation,"YEE JOHN LEONG, ALONZO JASON ARON, APTE UMESH MADHAV, ORACLE INT CORP",https://patents.google.com/patent/US9953143B2
US-9300838-B2,Image transmission apparatus,"YOSHIURA SYOUICHIROU, OKAMOTO YUJI, FUJIWARA KATSUYOSHI, UEDA NAOFUMI, SHARP KK",https://patents.google.com/patent/US9300838B2
US-2006176501-A1,Image transmission apparatus,"YOSHIURA SYOUICHIROU, OKAMOTO YUJI, FUJIWARA KATSUYOSHI, UEDA NAOFUMI",https://patents.google.com/patent/US20060176501A1
US-2004017906-A1,Method of disconnecting a computer modem or other telephone enabled system from a telephone line to prevent unauthorized calls,EASTMAN KODAK CO,https://patents.google.com/patent/US20040017906A1
US-6718025-B2,System and method for toll notification when placing a call,BELLSOUTH INTELLECT PTY CORP,https://patents.google.com/patent/US6718025B2
US-2010058470-A1,Mobile terminal to prevent virus infection and method of controlling operation of the mobile terminal,KIM TAE YONG,https://patents.google.com/patent/US20100058470A1
US-2003185373-A1,System and method for toll notification when placing a call,"Boughman Glenn Ralph, Kropenick Wendy Kay",https://patents.google.com/patent/US20030185373A1
US-9936085-B2,Image transmission apparatus,SHARP KK,https://patents.google.com/patent/US9936085B2
US-8621633-B2,Mobile terminal to prevent virus infection and method of controlling operation of the mobile terminal,"KIM TAE YONG, LG ELECTRONICS INC",https://patents.google.com/patent/US8621633B2
US-6570973-B1,System and method for toll notification when placing a call,BELLSOUTH INTELLECT PTY CORP,https://patents.google.com/patent/US6570973B1
US-8737988-B2,Service provider identifier,AT & T IP I LP,https://patents.google.com/patent/US8737988B2
US-9391808-B2,Phonecasting systems and methods,"KAUFMAN MATTHEW, SHARP MICHAEL, COLEMAN CHRISTOPHER",https://patents.google.com/patent/US9391808B2
US-8385915-B2,Service provider identifier,"AT & T IP I LP, PETRONELLI ANTHONY PAUL",https://patents.google.com/patent/US8385915B2
DE-10253374-B4,0,BLOECHL BERNHARD,https://patents.google.com/patent/DE10253374B4
US-2004186725-A1,Apparatus and method for preventing unauthorized use of an information processing device,NEC CORP,https://patents.google.com/patent/US20040186725A1
US-2006246876-A1,System for notifying a cellular telephone user that a call involves another telephone located outside of a defined service charge range of user&#39;s network,"AWADA FAISAL M, BROWN JOE N, BURKES PHILIP B, ESPINOZA VICTOR JR",https://patents.google.com/patent/US20060246876A1
GB-2422980-A,Modem to telephone line interlock,BLANSHARD GEORGE,https://patents.google.com/patent/GB2422980A
US-2007015507-A1,Service provider identifier,PETRONELLI ANTHONY P,https://patents.google.com/patent/US20070015507A1
US-10560589-B2,Image transmission apparatus,SHARP KK,https://patents.google.com/patent/US10560589B2
US-2008107102-A1,Phonecasting systems and methods,BANDTONES LLC,https://patents.google.com/patent/US20080107102A1
US-2015209501-A1,Safety features for medical devices requiring assistance and supervision,NXSTAGE MEDICAL INC,https://patents.google.com/patent/US20150209501A1
US-2004238630-A1,Systems and methods for determining an authorization threshold,"Cassandra Mollett, Bethscheider Alan Jay, Brauckman Susan Diane, Walker David A., Smith David Wayne",https://patents.google.com/patent/US20040238630A1
US-7082483-B2,System and apparatus for compressing and decompressing data stored to a portable data storage device,TREK TECHNOLOGY SINGAPORE PTE,https://patents.google.com/patent/US7082483B2
US-2006200628-A1,Portable data storage device,"CHENG CHONG S, POO TENG P",https://patents.google.com/patent/US20060200628A1
US-2008320128-A1,"Method, system and service for structured data filtering, aggregation, and dissemination",ALCATEL LUCENT,https://patents.google.com/patent/US20080320128A1
US-9305108-B2,Semantic selection and purpose facilitation,GOOGLE INC,https://patents.google.com/patent/US9305108B2
US-2006259652-A1,System and apparatus for compressing and decompressing data stored to a portable data storage device,TREK 2000 INT LTD,https://patents.google.com/patent/US20060259652A1
US-7941669-B2,Method and apparatus for enabling a user to select an authentication method,AMERICAN EXPRESS TRAVEL RELATE,https://patents.google.com/patent/US7941669B2
US-11154776-B2,Semantic gaming and application transformation,IDHL HOLDINGS INC,https://patents.google.com/patent/US11154776B2
US-7549161-B2,Portable device having biometrics-based authentication capabilities,TREK 2000 INT LTD,https://patents.google.com/patent/US7549161B2
US-7877612-B2,System and method for controlling user access to an electronic device,MICRON TECHNOLOGY INC,https://patents.google.com/patent/US7877612B2
US-7191941-B1,Systems and methods for determining a need for authorization,FIRST DATA CORP,https://patents.google.com/patent/US7191941B1
CN-106775353-A,A kind of method that utilization mouse action unlocks desktop operating system screen,ISOFT INFRASTRUCTURE SOFTWARE CO LTD,https://patents.google.com/patent/CN106775353A
US-2010005522-A1,Digital transmission system (DTS) for computer security,DAROGA BEHRUZ NADER,https://patents.google.com/patent/US20100005522A1
US-10782792-B2,3D pointing devices with orientation compensation and improved usability,IDHL HOLDINGS INC,https://patents.google.com/patent/US10782792B2
US-2005182962-A1,Computer security peripheral,"Paul Given, Farleigh Scott E.",https://patents.google.com/patent/US20050182962A1
US-2002174287-A1,Portable data storage device capable of being directly connected via USB plug to a computer,Cheng Chong Seng,https://patents.google.com/patent/US20020174287A1
US-2004139255-A1,Portable data storage device,CHENG CHONG SENG,https://patents.google.com/patent/US20040139255A1
US-2003174167-A1,System and apparatus for accessing and transporting electronic communications using a portable data storage device,"Poo Teng Pin, Low Kim Seah",https://patents.google.com/patent/US20030174167A1
US-11783939-B2,Safety features for medical devices requiring assistance and supervision,NXSTAGE MEDICAL INC,https://patents.google.com/patent/US11783939B2
US-12112849-B2,Safety features for medical devices requiring assistance and supervision,NXSTAGE MEDICAL INC,https://patents.google.com/patent/US12112849B2
US-7725725-B1,User-selectable signatures,ODOM GARY,https://patents.google.com/patent/US7725725B1
US-7631121-B2,System and apparatus for compressing and decompressing data stored to a portable data storage device,TREK 2000 INT LTD,https://patents.google.com/patent/US7631121B2
GB-2458426-A,Password protection system and method,INVICTA NETWORKS INC,https://patents.google.com/patent/GB2458426A
US-7350078-B1,User selection of computer login,ODOM GARY,https://patents.google.com/patent/US7350078B1
US-10534899-B2,Utilizing inputs for accessing devices,BLACKBERRY LTD,https://patents.google.com/patent/US10534899B2
US-2018061010-A1,"Protecting individuals privacy in public through visual opt-out, signal detection, and marker detection",IBM,https://patents.google.com/patent/US20180061010A1
US-9946356-B2,3D pointing devices with orientation compensation and improved usability,"IDHL HOLDINGS INC, INTERDIGITAL PATENT HOLDINGS INC",https://patents.google.com/patent/US9946356B2
US-10331869-B2,System and method for controlling user access to an electronic device,MICRON TECHNOLOGY INC,https://patents.google.com/patent/US10331869B2
US-8890827-B1,Selected content refinement mechanisms,GOOGLE INC,https://patents.google.com/patent/US8890827B1
US-9465929-B2,System and method for controlling user access to an electronic device,MICRON TECHNOLOGY INC,https://patents.google.com/patent/US9465929B2
US-2004025031-A1,Method and apparatus of storage anti-piracy key encryption (SAKE) device to control data access for networks,"Ooi Chin Shyan Raymond, Lim Lay Chuan, Poo Teng Pin, Henry Tan",https://patents.google.com/patent/US20040025031A1
US-2017063876-A1,Systems and methods for protecting messages utilizing a hidden restriction mechanism,CYBERLINK CORP,https://patents.google.com/patent/US20170063876A1
US-8429415-B1,User-selectable signatures,"ODOM GARY, Tierra Intelectual Borinquen",https://patents.google.com/patent/US8429415B1
US-2003149816-A1,Portable data storage and image recording device capable of direct connection to a computer USB port,"Poo Teng Pin, Kuan Mun Kwong",https://patents.google.com/patent/US20030149816A1
US-9910974-B2,Method for controlling user access to an electronic device,MICRON TECHNOLOGY INC,https://patents.google.com/patent/US9910974B2
US-2013069778-A1,Safety features for medical devices requiring assistance and supervision,"BURBANK JEFFREY H, TREU DENNIS M, BRUGGER JAMES M, NXSTAGE MEDICAL INC",https://patents.google.com/patent/US20130069778A1
US-2012174214-A1,Enhancing biometric security of a system,"HUANG ZUO, ZHANG QUNZHONG, GUI KAI, KOHLENBERG TOBIAS M, INTEL CORP",https://patents.google.com/patent/US20120174214A1
US-9201914-B2,"Method, system and service for structured data filtering, aggregation, and dissemination","BOU-DIAB BASHAR SAID, RABINOVITCH PETER, ALCATEL LUCENT",https://patents.google.com/patent/US9201914B2
US-8429416-B2,Method and apparatus of storage anti-piracy key encryption (SAKE) device to control data access for networks,"OOI CHIN SHYAN RAYMOND, LIM LAY CHUAN, POO TENG PIN, TAN HENRY, TREK 2000 INT LTD",https://patents.google.com/patent/US8429416B2
US-9501583-B2,Referent based search suggestions,GOOGLE INC,https://patents.google.com/patent/US9501583B2
US-2014156999-A1,User selectable signature,"ODOM GARY, TIERRA INTELECTUAL BORINQUEN INC",https://patents.google.com/patent/US20140156999A1
US-8359659-B2,Method and apparatus for protecting private information on a user apparatus,"CREATIVE TECH LTD, SIM WONG HOO, LEE TECK CHEE, TAN AIK TAT, CHOO GUAN CHUAN",https://patents.google.com/patent/US8359659B2
US-9258301-B2,Advanced authentication techniques,"SKY SOCKET LLC, AIRWATCH LLC",https://patents.google.com/patent/US9258301B2
US-12423401-B2,Device and method for authenticating a user of a first electronic device connected to a second electronic device by using a relative characteristic parameter,ORANGE,https://patents.google.com/patent/US12423401B2
US-2006279552-A1,"Information processing apparatus, method and program",TONOUCHI YOJIRO,https://patents.google.com/patent/US20060279552A1
US-2006230203-A1,A portable data storage device having a secure mode of operation,TREK TECHNOLOGY SINGAPORE PTE,https://patents.google.com/patent/US20060230203A1
US-2003005337-A1,Portable device having biometrics-based authentication capabilities,"Poo Teng Pin, Lim Lay Chuan",https://patents.google.com/patent/US20030005337A1
US-2013314336-A1,Methods of rhythm touch unlock and related electronic device,WISTRON CORP,https://patents.google.com/patent/US20130314336A1
US-9026798-B2,User selectable signature,TIERRA INTELECTUAL BORINQUEN INC,https://patents.google.com/patent/US9026798B2
US-7039759-B2,Portable data storage device,TREK TECHNOLOGY SINGAPORE PTE,https://patents.google.com/patent/US7039759B2
US-7489299-B2,User interface devices and methods employing accelerometers,HILLCREST LAB INC,https://patents.google.com/patent/US7489299B2
US-7769638-B1,Systems and methods for verifying authorization for electronic commerce,FIRST DATA CORP,https://patents.google.com/patent/US7769638B1
US-2022375592-A1,Safety Features for Medical Devices Requiring Assistance and Supervision,NXSTAGE MEDICAL INC,https://patents.google.com/patent/US20220375592A1
US-8856897-B2,Method and apparatus for enabling a user to select an authentication method,SORA APPLIC LLC,https://patents.google.com/patent/US8856897B2
US-10169558-B2,Enhancing biometric security of a system,"HUANG ZUO, ZHANG QUNZHONG, GUI KAI, KOHLENBERG TOBIAS M, INTEL CORP",https://patents.google.com/patent/US10169558B2
US-2016224777-A1,User Authentication For Mobile Devices Using Behavioral Analysis,MCAFEE INC,https://patents.google.com/patent/US20160224777A1
US-7650470-B2,Method and devices for data transfer,TREK 2000 INTERNATIONAL LTD,https://patents.google.com/patent/US7650470B2
US-8209462-B2,Portable data storage device,"CHENG CHONG SENG, POO TENG PIN, TREK 2000 INT LTD",https://patents.google.com/patent/US8209462B2
US-2010050268-A1,Password protection system and method,INVICTA NETWORKS INC,https://patents.google.com/patent/US20100050268A1
US-2005274797-A1,Systems and methods for determining an authorization,"MOLLETT CASSANDRA, BETHSCHEIDER ALAN J, BRAUCKMAN SUSAN D, WALKER DAVID A, SMITH DAVID W",https://patents.google.com/patent/US20050274797A1
US-2003005336-A1,Portable device having biometrics-based authentication capabilities,"Poo Teng Pin, Lim Lay Chuan",https://patents.google.com/patent/US20030005336A1
US-2002087894-A1,Method and apparatus for enabling a user to select an authentication method,"Foley James M., Johnson Rick D., Anant Nambiar",https://patents.google.com/patent/US20020087894A1
FR-3111503-A1,0,ORANGE,https://patents.google.com/patent/FR3111503A1
US-8176547-B2,System and method for controlling user access to an electronic device,"MCKEETH JAMES, MICRON TECHNOLOGY INC",https://patents.google.com/patent/US8176547B2
US-6935559-B2,Systems and methods for determining an authorization threshold,FIRST DATA CORP,https://patents.google.com/patent/US6935559B2
US-8214886-B2,Method and apparatus for enabling a user to select an authentication method,"FOLEY JAMES M, JOHNSON RICK D, NAMBIAR ANANT, AMERICAN EXPRESS TRAVEL RELATE",https://patents.google.com/patent/US8214886B2
US-9024746-B2,Safety features for medical devices requiring assistance and supervision,"BURBANK JEFFREY H, TREU DENNIS M, BRUGGER JAMES M, NXSTAGE MEDICAL INC",https://patents.google.com/patent/US9024746B2
US-8296831-B2,Method and apparatus for enabling a user to select an authentication method,"FOLEY JAMES M, JOHNSON RICK D, NAMBIAR ANANT, AMERICAN EXPRESS TRAVEL RELATE",https://patents.google.com/patent/US8296831B2
