Document ID,Date Published,Family ID,Pages,Title,CPCI
US-10311221-B2,6/4/2019,32682653,11,System and method for controlling user access to an electronic device,G06F21/36;G06F3/0488;G06F21/40;G06F21/6218;G06F21/31;G06F21/32;G06F3/041;G06V40/12
US-10331869-B2,6/25/2019,32682653,11,System and method for controlling user access to an electronic device,G06F21/40;G06F3/0488;G06F21/36;G06F21/31;G06F21/32;G06V40/12;G06F21/6218;G06F3/041
US-11113127-B2,9/7/2021,44070991,10,Command line output redirection,G06F12/023;G06F9/544;G06F9/54
US-2003-0052884-A1,3/20/2003,22382884,17,Animation packager for an on-line book,G06T13/00;G06Q30/00;G06Q10/10;G06T13/80
US-2003-0105744-A1,6/5/2003,25546405,13,Method and system for updating a search engine,G06F16/9538;G06F16/951
US-2004-0130551-A1,7/8/2004,22382884,17,Animation packager for an on-line book,G06Q10/10;G06Q30/00;G06T13/00;G06T13/80
US-2004-0210848-A1,10/21/2004,32106387,11,Multiple operating system quick boot utility,G06F9/441
US-2005-0015394-A1,1/20/2005,25546405,14,Method and system for updating a search engine,G06F16/951;G06F16/9538
US-2005-0021960-A1,1/27/2005,32682653,11,Method and system for authenticating a user of a computer system,G06F3/041;G06F21/40;G06F3/0488;G06F21/6218;G06F21/31;G06F21/32;G06F21/36;G06V40/12
US-2005-0022005-A1,1/27/2005,32682653,11,System and method for controlling user access to an electronic device,G06F21/6218;G06F3/0488;G06F21/40;G06F21/32;G06F3/041;G06F21/36;G06V40/12;G06F21/31
US-2005-0044382-A1,2/24/2005,32682653,11,System and method for user authentication,G06F21/40;G06F3/041;G06F21/32;G06F21/36;G06F3/0488;G06V40/12;G06F21/31;G06F21/6218
US-2006-0017736-A1,1/26/2006,22382884,14,Animation packager for an on-line book,G06T13/00;G06Q30/00;G06Q10/10;G06T13/80
US-2007-0055973-A1,3/8/2007,37831350,15,Text based markup language resource interface,G06F9/453
US-2007-0061697-A1,3/15/2007,37831350,15,Text based markup language resource interface,G06F9/453
US-2007-0112911-A1,5/17/2007,37807256,15,Method and System for Communicating Between Clients In A Computer Network,H04L61/5076;H04L61/4511
US-2010-0057802-A1,3/4/2010,25546405,13,METHOD AND SYSTEM FOR UPDATING A SEARCH ENGINE,G06F16/9538;G06F16/951
US-2011-0119759-A1,5/19/2011,32682653,9,SYSTEM AND METHOD FOR CONTROLLING USER ACCESS TO AN ELECTRONIC DEVICE,G06F21/36;G06F21/32;G06F21/31;G06F3/041;G06F21/40;G06V40/12;G06F3/0488;G06F21/6218
US-2011-0225597-A1,9/15/2011,44070991,8,COMMAND LINE OUTPUT REDIRECTION,G06F9/54;G06F9/544;G06F12/023
US-2011-0225598-A1,9/15/2011,44070991,8,COMMAND LINE OUTPUT REDIRECTION,G06F9/54;G06F9/544;G06F12/023
US-2012-0011116-A1,1/12/2012,25546405,12,METHOD AND SYSTEM FOR UPDATING A SEARCH ENGINE,G06F16/9538;G06F16/951
US-2012-0198544-A1,8/2/2012,32682653,10,SYSTEM AND METHOD FOR CONTROLLING USER ACCESS TO AN ELECTRONIC DEVICE,G06F21/6218;G06F21/36;G06F3/0488;G06F21/32;G06V40/12;G06F3/041;G06F21/40;G06F21/31
US-2013-0185790-A1,7/18/2013,32682653,10,SYSTEM AND METHOD FOR CONTROLLING USER ACCESS TO AN ELECTRONIC DEVICE,G06F21/32;G06F3/041;G06F21/6218;G06V40/12;G06F3/0488;G06F21/31;G06F21/36;G06F21/40
US-2014-0344833-A1,11/20/2014,44070991,8,COMMAND LINE OUTPUT REDIRECTION,G06F9/54;G06F9/544;G06F12/023
US-2014-0351928-A1,11/27/2014,32682653,10,SYSTEM AND METHOD FOR CONTROLLING USER ACCESS TO AN ELECTRONIC DEVICE,G06F21/6218;G06F3/0488;G06F21/36;G06F21/40;G06F21/32;G06V40/12;G06F21/31;G06F3/041
US-2017-0124310-A1,5/4/2017,32682653,10,SYSTEM AND METHOD FOR CONTROLLING USER ACCESS TO AN ELECTRONIC DEVICE,G06F21/36;G06F21/6218;G06F3/041;G06F3/0488;G06F21/31;G06F21/32;G06V40/12;G06F21/40
US-2017-0140142-A1,5/18/2017,32682653,10,METHOD FOR CONTROLLING USER ACCESS TO AN ELECTRONIC DEVICE,G06V40/12;G06F3/0488;G06F21/31;G06F3/041;G06F21/36;G06F21/40;G06F21/6218;G06F21/32
US-2017-0228268-A1,8/10/2017,44070991,9,Command Line Output Redirection,G06F9/54;G06F12/023;G06F9/544
US-2018-0150625-A1,5/31/2018,32682653,10,SYSTEM AND METHOD FOR CONTROLLING USER ACCESS TO AN ELECTRONIC DEVICE,G06V40/12;G06F21/32;G06F3/0488;G06F21/6218;G06F3/041;G06F21/40;G06F21/31;G06F21/36
US-2018-0165440-A1,6/14/2018,32682653,10,SYSTEM AND METHOD FOR CONTROLLING USER ACCESS TO AN ELECTRONIC DEVICE,G06F3/0488;G06F3/041;G06F21/40;G06F21/6218;G06F21/32;G06F21/31;G06V40/12;G06F21/36
US-6157392-A,12/5/2000,22382884,17,Animation packager for an on-line book,G06Q30/00;G06T13/00;G06T13/80;G06Q10/10
US-6219069-B1,4/17/2001,22383812,15,Method for generating animation in an on-line book,G06T13/00
US-6260140-B1,7/10/2001,22747798,12,Operating system multi boot integrator,G06F9/441
US-6327707-B1,12/4/2001,23257519,10,"Method, programmed medium and system for customizing pre-loaded software",G06F9/44505
US-6330669-B1,12/11/2001,22744481,12,OS multi boot integrator,G06F9/441
US-6411693-B1,6/25/2002,23905838,14,Long distance modem warning,H04M15/8083;H04M15/745;H04M15/56;H04M15/43;H04M1/677;H04M1/673;H04L12/2856
US-6483512-B1,11/19/2002,22382884,16,Animation packager for an on-line book,G06T13/00;G06Q30/00;G06Q10/10;G06T13/80
US-6661419-B2,12/9/2003,22382884,16,Animation packager for an on-line book,G06T13/00;G06T13/80;G06Q30/00;G06Q10/10
US-6727920-B1,4/27/2004,32106387,11,Multiple operating system quick boot utility,G06F9/441
US-6763362-B2,7/13/2004,25546405,13,Method and system for updating a search engine,G06F16/951;G06F16/9538
